family,height,width,pixels,mean,std,min,max,entropy
Lolyda.AA1,400,64,25600,92.7344140625,91.89212580206372,0,255,5.731240858542034
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Alueron.gen!J,266,384,102144,101.77718710839599,83.5464895654911,0,255,7.100061768284297
Dontovo.A,244,128,31232,49.657914959016395,74.76944865524942,0,255,4.325576971904299
Dialplatform.B,216,64,13824,94.45290798611111,82.61456837930967,0,255,6.74718437665112
Allaple.A,246,256,62976,122.19016768292683,75.98376009813376,0,255,7.867439336273723
Allaple.L,452,128,57856,123.60700705199115,77.6308012399081,0,255,7.855951545909656
Allaple.A,246,256,62976,123.4706237296748,77.06293927101139,0,255,7.862375932460429
Allaple.L,452,128,57856,122.66923050331859,76.52388260602638,0,255,7.854943000581863
Allaple.L,452,128,57856,123.12135301438053,76.2977258630267,0,255,7.862478254261116
Instantaccess,445,384,170880,121.3623127340824,78.11631953625927,0,255,7.838011032232365
Allaple.A,365,256,93440,125.31330265410959,75.81484782082062,0,255,7.937499743941962
Allaple.A,248,256,63488,121.71629284274194,76.98745175179398,0,255,7.873972539875308
Rbot!gen,457,512,233984,97.39307388539387,81.28542262511627,0,255,6.553919024161844
Allaple.L,452,128,57856,123.25231609513274,76.84228640249977,0,255,7.857823010228679
Lolyda.AA1,400,64,25600,94.7916796875,91.79150330618789,0,255,5.828739659192886
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.A,264,256,67584,122.84406072443181,77.29237059465925,0,255,7.86994328122761
Adialer.C,410,512,209920,93.55452553353659,75.1618318784604,0,255,6.517862312169521
Allaple.A,248,256,63488,123.93562563004032,76.81271817121677,0,255,7.882814405847365
Instantaccess,445,384,170880,121.52828300561798,78.19887785228275,0,255,7.838013743822948
Allaple.A,248,256,63488,123.80509702620968,77.09995650499903,0,255,7.8733552541806855
Allaple.L,452,128,57856,120.84900442477876,77.53866355795644,0,255,7.840824006608758
Lolyda.AA1,408,64,26112,98.27462469362744,91.89220061791234,0,255,5.900188300142866
Lolyda.AT,361,64,23104,103.71528739612188,76.66809085140751,0,255,7.467995214417874
VB.AT,1737,1024,1778688,69.01123299870466,83.50437732817515,0,255,5.084646975344816
Allaple.A,306,256,78336,123.35876225490196,76.31293922017574,0,255,7.904702839551935
Allaple.A,264,256,67584,123.69094756155303,77.45007134190297,0,255,7.859767998960297
Allaple.L,452,128,57856,123.47832549778761,76.91767477162499,0,255,7.854362283974847
Lolyda.AA1,464,64,29696,95.79387796336206,92.02561716688042,0,255,5.804421819343219
Allaple.A,248,256,63488,123.94808467741936,76.53540942780104,0,255,7.878587581376772
Allaple.A,264,256,67584,124.41521661931819,77.03919416586164,0,255,7.885817522058671
Allaple.A,365,256,93440,126.38011558219178,76.6290446103669,0,255,7.934208433890845
